Pregunta ID,Respuesta estudiante,Nota Profesor,Nota Agente (Ensamble),Diferencia,Rango de nota,Nota Conceptos (Exp 1),Nota Rango (Exp 2),Nota Directa (Exp 3)
Q675600740,"Desde mi punto de vista, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Esto es fundamental.",8,6.62,-1.38,<BUENO>,5.5,7.5,8
Q205293180,"En el desarrollo, Validar entradas sirve para que no pongas letras en lugar de números en el formulario. Eso hace que el programa ande mejor y sea más robusto. Esto es fundamental.",4,5,1,<ACEPTABLE>,5.5,5,4
Q004474161,"Considero que TDD o desarrollo guiado por pruebas se compone de un ciclo de tres etapas: Rojo, Verde y Refactor. En el Rojo se escribe una prueba automatizada que falla (pues no hay código para satisfacerla). En el Verde se implementa el mínimo código para que pase la prueba. En el Refactor se limpia y optimiza el diseño manteniendo el comportamiento. Su gran valor es proactivo, ya que los tests definen el diseño del software y previenen bugs desde el inicio. Es un concepto clave.",10,6.12,-3.88,<BUENO>,5,7.5,7
Q799823558,"Considero que La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. De esta manera funciona.",5,5.18,0.18,<ACEPTABLE>,4.86,5,6
Q675600740,"Desde mi punto de vista, Las buenas prácticas son: hacer tests independientes, que no dependan del orden de ejecución, escribir código simple para pasar la prueba verde, y refactorizar siempre en cada ciclo. Esto impacta haciendo que el software sea robusto y libre de errores graves. Queda claro su beneficio.",6,4.75,-1.25,<ACEPTABLE>,4,5,6
Q205293180,"Básicamente, La validación de entradas en TDD nos obliga a escribir pruebas para valores límite (números negativos, cadenas vacías, formatos incorrectos) antes de codificar la lógica del negocio. Al asegurar estas validaciones por test, evitamos errores imprevistos en producción. Esto hace que el código sea mucho más robusto frente a fallos y fácil de mantener. Queda claro su beneficio.",8,6.5,-1.5,<ACEPTABLE>,7,5,7
Q004474161,"Para responder a esto: El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Es un concepto clave.",8,7.38,-0.62,<EXCELENTE>,6,9.5,8
Q799823558,"Desde mi punto de vista, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. De esta manera funciona.",5,4.93,-0.07,<ACEPTABLE>,4.86,5,5
Q675600740,"En el desarrollo, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes.",8,6.62,-1.38,<BUENO>,5.5,7.5,8
Q205293180,"Considero que Es importante validar las entradas porque si el software recibe datos incorrectos puede dar un error en la base de datos.",4,4,0,<ACEPTABLE>,4,5,3
Q799823558,"Desde mi punto de vista, TDD es para proyectos ágiles y tradicional es para proyectos con metodología en cascada donde se testea al final. Es un concepto clave.",3,3.4,0.4,<ACEPTABLE>,2.29,5,4
Q004474161,"En mi opinión, En TDD seguimos el ciclo de: 1. Rojo (escribir test que falla), 2. Verde (hacer código para que pase el test), 3. Refactor (mejorar y limpiar el código sin cambiar su funcionalidad). Es crucial en desarrollo porque previene errores y nos da confianza al hacer cambios futuros sobre el sistema. Queda claro su beneficio.",8,6,-2,<ACEPTABLE>,6,5,7
Q675600740,"En mi opinión, Las buenas prácticas son: hacer tests independientes, que no dependan del orden de ejecución, escribir código simple para pasar la prueba verde, y refactorizar siempre en cada ciclo. Esto impacta haciendo que el software sea robusto y libre de errores graves. Esto es fundamental.",6,5.75,-0.25,<ACEPTABLE>,5.5,5,7
Q205293180,"Básicamente, Es importante validar las entradas porque si el software recibe datos incorrectos puede dar un error en la base de datos. Es un concepto clave.",4,4,0,<ACEPTABLE>,4,5,3
Q004474161,"En mi opinión, TDD se basa en tres fases: rojo (los tests fallan), verde (los tests pasan) y refactor (mejorar el código escrito). La importancia es que al hacer los tests antes del código, el programador tiene más claro lo que tiene que programar y se reducen los errores básicos del sistema. Así lo veo yo.",6,5.75,-0.25,<ACEPTABLE>,6,5,6
Q799823558,"En el desarrollo, El enfoque tradicional es mejor porque no pierdes tiempo haciendo tests antes de saber si el código funciona. TDD es más lento y requiere escribir el doble de código.",3,1.5,-1.5,<INSUFICIENTE>,1,2,2
Q675600740,"Desde mi punto de vista, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Esto es fundamental.",8,6.38,-1.62,<BUENO>,5.5,7.5,7
Q205293180,"Para responder a esto: Validar entradas sirve para que el usuario no pueda ingresar números negativos en los campos de texto del formulario HTML. Es un concepto clave.",2,3.25,1.25,<INSUFICIENTE>,4,2,3
Q004474161,"Básicamente, El ciclo TDD consiste en testear el código del programa usando un archivo de tests que verifica las variables. De esta manera funciona.",2,1.5,-0.5,<INSUFICIENTE>,1,2,2
Q799823558,"Desde mi punto de vista, TDD y tradicional son dos herramientas para compilar programas de computadora. Queda claro su beneficio.",1,1.75,0.75,<INSUFICIENTE>,1,2,3
Q675600740,"En el desarrollo, Algunas buenas prácticas de TDD son escribir pruebas pequeñas y específicas, no avanzar a la fase verde sin un test que falle, y refactorizar continuamente tanto el código como los tests. Su impacto en la calidad es muy alto: se reduce el acoplamiento, aumenta la cohesión del código y se facilita la mantenibilidad del software a largo plazo. Queda claro su beneficio.",8,5,-3,<ACEPTABLE>,4,5,7
Q205293180,"Considero que Validar entradas sirve para que no pongas letras en lugar de números en el formulario. Eso hace que el programa ande mejor y sea más robusto. Es un concepto clave.",4,6,2,<ACEPTABLE>,7,5,5
Q004474161,"En TDD seguimos el ciclo de: 1. Rojo (escribir test que falla), 2. Verde (hacer código para que pase el test), 3. Refactor (mejorar y limpiar el código sin cambiar su funcionalidad). Es crucial en desarrollo porque previene errores y nos da confianza al hacer cambios futuros sobre el sistema. Queda claro su beneficio.",8,6,-2,<ACEPTABLE>,6,5,7
Q799823558,"Básicamente, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase.",5,4.93,-0.07,<ACEPTABLE>,4.86,5,5
Q675600740,"En mi opinión, Como buena práctica hay que intentar escribir los tests antes de escribir la funcionalidad. El impacto que esto genera en el software es que el código queda más ordenado y con menos fallos. De esta manera funciona.",4,4.25,0.25,<ACEPTABLE>,4,5,4
Q205293180,"Básicamente, Es importante validar las entradas porque si no el programa puede romperse cuando el usuario ingresa datos incorrectos. Escribiendo tests para esto en TDD aseguramos que el sistema no falle ante datos inválidos y sea más robusto. De esta manera funciona.",6,6.5,0.5,<ACEPTABLE>,7,5,7
Q004474161,"El ciclo TDD es rojo, verde y refactor. Haces el test, luego el código y después mejoras lo que hiciste. Es importante porque hace que el software tenga menos fallas y ande mejor. De esta manera funciona.",4,5.5,1.5,<ACEPTABLE>,7,5,3
Q799823558,"La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. Esto es fundamental.",5,5.18,0.18,<ACEPTABLE>,4.86,5,6
Q675600740,"TDD no tiene buenas prácticas, es simplemente escribir código sin importar el diseño. Queda claro su beneficio.",0,1.5,1.5,<INSUFICIENTE>,1,2,2
Q205293180,"En el desarrollo, Validar entradas sirve para que el usuario no pueda ingresar números negativos en los campos de texto del formulario HTML. Así lo veo yo.",2,3.25,1.25,<INSUFICIENTE>,4,2,3
Q004474161,"Desde mi punto de vista, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Es un concepto clave.",8,6.62,-1.38,<BUENO>,6,7.5,7
Q799823558,"Considero que TDD y tradicional son dos herramientas para compilar programas de computadora. Así lo veo yo.",1,1.5,0.5,<INSUFICIENTE>,1,2,2
Q675600740,"En mi opinión, Las buenas prácticas son no hacer tests para avanzar más rápido en el proyecto. Así lo veo yo.",0,1.25,1.25,<INSUFICIENTE>,1,2,1
Q205293180,"Para responder a esto: En TDD validamos las entradas haciendo pruebas para los casos en que el usuario ponga datos malos, por ejemplo letras en campos numéricos. Esto ayuda a la robustez del código ya que el programa no se colgará fácilmente. Queda claro su beneficio.",6,6.25,0.25,<ACEPTABLE>,7,5,6
Q004474161,"Para responder a esto: El ciclo TDD sirve para compilar el código de forma automática usando el compilador de Java. Así lo veo yo.",0,1.5,1.5,<INSUFICIENTE>,1,2,2
Q799823558,"En mi opinión, El enfoque tradicional es mejor porque no pierdes tiempo haciendo tests antes de saber si el código funciona. TDD es más lento y requiere escribir el doble de código. Esto es fundamental.",3,1.75,-1.25,<INSUFICIENTE>,1,2,3
Q675600740,"Algunas buenas prácticas de TDD son escribir pruebas pequeñas y específicas, no avanzar a la fase verde sin un test que falle, y refactorizar continuamente tanto el código como los tests. Su impacto en la calidad es muy alto: se reduce el acoplamiento, aumenta la cohesión del código y se facilita la mantenibilidad del software a largo plazo. Así lo veo yo.",8,5.62,-2.38,<BUENO>,4,7.5,7
Q205293180,"Es importante validar las entradas porque si no el programa puede romperse cuando el usuario ingresa datos incorrectos. Escribiendo tests para esto en TDD aseguramos que el sistema no falle ante datos inválidos y sea más robusto.",6,6.5,0.5,<ACEPTABLE>,7,5,7
Q799823558,"La diferencia principal radica en la secuencia: TDD es 'test-first' (pruebas antes que código) y el tradicional es 'test-after' (código antes que pruebas). TDD utiliza los tests como una herramienta de diseño y especificación, logrando código más desacoplado y modular. Por otro lado, el enfoque tradicional valida el código de forma reactiva, donde los tests suelen ser opcionales y el diseño ya está predefinido, lo que dificulta hacer cambios. Así lo veo yo.",9,6.95,-2.05,<BUENO>,6.14,7.5,8
Q004474161,"En mi opinión, No sé qué es TDD ni el ciclo rojo verde, yo programo directamente el código y hago pruebas manuales.",0,1.25,1.25,<INSUFICIENTE>,1,2,1
Q675600740,"Desde mi punto de vista, Las buenas prácticas son: hacer tests independientes, que no dependan del orden de ejecución, escribir código simple para pasar la prueba verde, y refactorizar siempre en cada ciclo. Esto impacta haciendo que el software sea robusto y libre de errores graves. Es un concepto clave.",6,4.75,-1.25,<ACEPTABLE>,4,5,6
Q205293180,"Desde mi punto de vista, Es importante validar las entradas porque si no el programa puede romperse cuando el usuario ingresa datos incorrectos. Escribiendo tests para esto en TDD aseguramos que el sistema no falle ante datos inválidos y sea más robusto. Así lo veo yo.",6,6.5,0.5,<ACEPTABLE>,7,5,7
Q004474161,"En mi opinión, El ciclo TDD consiste en testear el código del programa usando un archivo de tests que verifica las variables. Es un concepto clave.",2,1.75,-0.25,<INSUFICIENTE>,1,2,3
Q799823558,"El enfoque tradicional es mejor porque no pierdes tiempo haciendo tests antes de saber si el código funciona. TDD es más lento y requiere escribir el doble de código.",3,1.5,-1.5,<INSUFICIENTE>,1,2,2
Q675600740,"Para responder a esto: El impacto en la calidad es que el programa no se rompe y no tiene bugs de sintaxis. Es un concepto clave.",2,1.75,-0.25,<INSUFICIENTE>,1,2,3
Q205293180,"Desde mi punto de vista, Validar entradas sirve para que el usuario no pueda ingresar números negativos en los campos de texto del formulario HTML. Queda claro su beneficio.",2,4,2,<ACEPTABLE>,4,5,3
Q799823558,"En mi opinión, La diferencia principal entre el enfoque tradicional de testing y el TDD consiste en el momento de elaboración de los tests, ya que en el primero se escribe el código y luego el test, al contrario que en el segundo. TDD ayuda a tener menos bugs porque los tests son obligatorios en cada fase. Esto es fundamental.",5,4.93,-0.07,<ACEPTABLE>,4.86,5,5
Q004474161,"No sé qué es TDD ni el ciclo rojo verde, yo programo directamente el código y hago pruebas manuales. Es un concepto clave.",0,1.5,1.5,<INSUFICIENTE>,1,2,2
Q675600740,"En mi opinión, Las buenas prácticas son: hacer tests independientes, que no dependan del orden de ejecución, escribir código simple para pasar la prueba verde, y refactorizar siempre en cada ciclo. Esto impacta haciendo que el software sea robusto y libre de errores graves. Es un concepto clave.",6,4.75,-1.25,<ACEPTABLE>,4,5,6
Q205293180,"Para responder a esto: En TDD validamos las entradas haciendo pruebas para los casos en que el usuario ponga datos malos, por ejemplo letras en campos numéricos. Esto ayuda a la robustez del código ya que el programa no se colgará fácilmente. Esto es fundamental.",6,6.25,0.25,<ACEPTABLE>,7,5,6
Q004474161,"En el desarrollo, TDD o desarrollo guiado por pruebas se compone de un ciclo de tres etapas: Rojo, Verde y Refactor. En el Rojo se escribe una prueba automatizada que falla (pues no hay código para satisfacerla). En el Verde se implementa el mínimo código para que pase la prueba. En el Refactor se limpia y optimiza el diseño manteniendo el comportamiento. Su gran valor es proactivo, ya que los tests definen el diseño del software y previenen bugs desde el inicio. Así lo veo yo.",10,6.62,-3.38,<BUENO>,6,7.5,7
Q799823558,"Desde mi punto de vista, En TDD, los tests se escriben al inicio y actúan como especificación de diseño, mientras que en el tradicional se escriben al final del desarrollo. Esto hace que TDD sea preventivo y guíe la arquitectura del código (menos acoplamiento). En el tradicional, el testing es reactivo y a veces opcional. Además, TDD asegura una cobertura del 100% de la funcionalidad implementada, mientras que en el tradicional suele ser parcial y más propensa a omitir casos críticos. Así lo veo yo.",9,7.98,-1.02,<BUENO>,8.71,7.5,7
Q675600740,"En el desarrollo, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Esto es fundamental.",8,6.38,-1.62,<BUENO>,5.5,7.5,7
Q205293180,"Para responder a esto: En TDD validamos las entradas haciendo pruebas para los casos en que el usuario ponga datos malos, por ejemplo letras en campos numéricos. Esto ayuda a la robustez del código ya que el programa no se colgará fácilmente. Es un concepto clave.",6,6.5,0.5,<ACEPTABLE>,7,5,7
Q799823558,"Para responder a esto: El enfoque tradicional es mejor porque no pierdes tiempo haciendo tests antes de saber si el código funciona. TDD es más lento y requiere escribir el doble de código. De esta manera funciona.",3,1.5,-1.5,<INSUFICIENTE>,1,2,2
Q004474161,"En TDD seguimos el ciclo de: 1. Rojo (escribir test que falla), 2. Verde (hacer código para que pase el test), 3. Refactor (mejorar y limpiar el código sin cambiar su funcionalidad). Es crucial en desarrollo porque previene errores y nos da confianza al hacer cambios futuros sobre el sistema. Esto es fundamental.",8,6,-2,<ACEPTABLE>,6,5,7
Q675600740,"Para responder a esto: El impacto en la calidad es que el programa no se rompe y no tiene bugs de sintaxis. Queda claro su beneficio.",2,1.5,-0.5,<INSUFICIENTE>,1,2,2
Q205293180,"En mi opinión, Validar entradas sirve para que el usuario no pueda ingresar números negativos en los campos de texto del formulario HTML. De esta manera funciona.",2,3.25,1.25,<INSUFICIENTE>,4,2,3
Q004474161,"Básicamente, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio. Queda claro su beneficio.",8,6.62,-1.38,<BUENO>,6,7.5,7
Q799823558,"Desde mi punto de vista, TDD y tradicional son dos herramientas para compilar programas de computadora. De esta manera funciona.",1,1.5,0.5,<INSUFICIENTE>,1,2,2
Q675600740,"Básicamente, Las buenas prácticas en TDD incluyen escribir únicamente el test mínimo necesario para que falle, evitar la duplicación de código en la fase de refactorización y mantener tests independientes y rápidos (regla FIRST). Estas prácticas tienen un impacto directo en la mantenibilidad y robustez del software, ya que reducen la complejidad técnica, aseguran una alta cobertura y permiten realizar cambios futuros con la confianza de no romper funcionalidades existentes. Es un concepto clave.",8,6.38,-1.62,<BUENO>,5.5,7.5,7
Q205293180,"Básicamente, Es importante validar las entradas porque si no el programa puede romperse cuando el usuario ingresa datos incorrectos. Escribiendo tests para esto en TDD aseguramos que el sistema no falle ante datos inválidos y sea más robusto.",6,6.5,0.5,<ACEPTABLE>,7,5,7
Q004474161,"Básicamente, El ciclo TDD consiste en Rojo, Verde y Refactor. En la fase roja escribimos un test que falle ya que la funcionalidad no existe. En la fase verde programamos el código justo para pasar ese test. En el refactor mejoramos el diseño del código sin alterar la funcionalidad. Es importante porque nos da un desarrollo guiado por pruebas, asegurando que todo lo que programamos esté verificado y sea más limpio.",8,6.62,-1.38,<BUENO>,6,7.5,7
Q799823558,"La diferencia es que TDD es proactivo (haces los tests antes de codificar la lógica) y el tradicional es reactivo (haces pruebas después de codificar). TDD asegura que escribas solo el código necesario, en cambio el enfoque tradicional puede llevar a escribir código de más que luego es difícil de testear. Así lo veo yo.",7,5.18,-1.82,<ACEPTABLE>,4.86,5,6
Q675600740,"Básicamente, Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema.",6,4.25,-1.75,<ACEPTABLE>,2.5,5,7
Q205293180,"Considero que En TDD las validaciones de entrada se hacen de forma manual al final del proyecto. Esto es fundamental.",2,1.5,-0.5,<INSUFICIENTE>,1,2,2
Q004474161,"En mi opinión, El ciclo TDD sirve para compilar el código de forma automática usando el compilador de Java. De esta manera funciona.",0,1.5,1.5,<INSUFICIENTE>,1,2,2
Q799823558,"Desde mi punto de vista, El enfoque tradicional es mejor porque no pierdes tiempo haciendo tests antes de saber si el código funciona. TDD es más lento y requiere escribir el doble de código. Queda claro su beneficio.",3,1.5,-1.5,<INSUFICIENTE>,1,2,2
Q675600740,"Considero que Las buenas prácticas de TDD son comentar los tests, ponerles nombres claros que describan qué hacen y correrlos siempre antes de hacer un commit. Esto ayuda a la calidad del código.",4,2.5,-1.5,<ACEPTABLE>,1,5,3
Q205293180,"Básicamente, Validar entradas en TDD es crucial para definir claramente el comportamiento de los métodos ante datos incorrectos o maliciosos desde la fase roja. Esto se relaciona directamente con la robustez del software, ya que previene fallos inesperados en tiempo de ejecución (como NullPointerExceptions o divisiones por cero) y asegura un diseño tolerante a fallos. Así lo veo yo.",8,6.5,-1.5,<ACEPTABLE>,7,5,7
Q004474161,"El ciclo TDD (Test-Driven Development) consta de tres pasos principales: Rojo (escribir un test que falle porque no hay código de producción), Verde (crear el código mínimo indispensable para que el test pase) y Refactor (mejorar la calidad y diseño del código eliminando duplicados y renombrando, sin modificar su comportamiento, con la seguridad de mantener los tests en verde). Su importancia radica en que invierte el proceso de desarrollo haciéndolo proactivo: los tests actúan como especificación del diseño, garantizando código modular y libre de complejidad técnica innecesaria.",10,7.38,-2.62,<EXCELENTE>,6,9.5,8
Q799823558,"Básicamente, TDD y tradicional son dos herramientas para compilar programas de computadora. De esta manera funciona.",1,1.5,0.5,<INSUFICIENTE>,1,2,2
