question_id,nota-por-varios-conceptos,experimento-categoria,Experimento-nota,esperado
Q675600740,0,<ACEPTABLE>,8,5
Q205293180,"6,5",<ACEPTABLE>,8,7
Q004474161,9,<ACEPTABLE>,7,7
Q799823558,8,<ACEPTABLE>,8,10
Q675600740,2,<ACEPTABLE>,6,6
Q205293180,"6,5",<ACEPTABLE>,8,5
Q004474161,9,<EXCELENTE>,7,10
Q799823558,8,<ACEPTABLE>,4,10
Q675600740,2,<EXCELENTE>,8,8
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,8,<ACEPTABLE>,7,6
Q799823558,7,<INSUFICIENTE>,8,4
Q675600740,8,<ACEPTABLE>,7,4
Q205293180,"6,5",<INSUFICIENTE>,7,4
Q004474161,9,<ACEPTABLE>,4,6
Q799823558,8,<INSUFICIENTE>,4,4
Q675600740,5,<ACEPTABLE>,5,5
Q205293180,"5,5",<INSUFICIENTE>,6,2
Q004474161,"5,5",<ACEPTABLE>,6,5
Q799823558,8,<ACEPTABLE>,5,9
Q675600740,1,<ACEPTABLE>,8,6
Q205293180,"6,5",<ACEPTABLE>,8,3
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,5,<INSUFICIENTE>,4,5
Q675600740,3,<INSUFICIENTE>,8,3
Q205293180,"6,5",<ACEPTABLE>,7,7
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,8,<ACEPTABLE>,4,8
Q675600740,-1,<INSUFICIENTE>,4,2
Q004474161,8,<EXCELENTE>,8,9
Q799823558,8,<ACEPTABLE>,5,8
Q675600740,3,<INSUFICIENTE>,8,7
Q205293180,"3,5",<ACEPTABLE>,8,7
Q004474161,8,<ACEPTABLE>,4,8
Q799823558,8,<ACEPTABLE>,7,8
Q675600740,5,<INSUFICIENTE>,5,3
Q205293180,"6,5",<INSUFICIENTE>,4,2
Q004474161,8,<ACEPTABLE>,8,10
Q799823558,8,<ACEPTABLE>,5,9
Q675600740,5,<INSUFICIENTE>,6,5
Q205293180,"3,5",<INSUFICIENTE>,5,6
Q004474161,2,<ACEPTABLE>,8,4
Q799823558,8,<ACEPTABLE>,8,8
Q675600740,5,<ACEPTABLE>,8,7
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,8,<ACEPTABLE>,7,8
Q799823558,8,<ACEPTABLE>,6,8
Q675600740,1,<INSUFICIENTE>,4,1
Q205293180,"5,5",<INSUFICIENTE>,6,6
Q004474161,8,<ACEPTABLE>,8,8
Q799823558,8,<ACEPTABLE>,7,8
Q675600740,5,<INSUFICIENTE>,8,6
Q205293180,"6,5",<INSUFICIENTE>,7,6
Q004474161,8,<ACEPTABLE>,8,8
Q799823558,8,<ACEPTABLE>,5,10
Q675600740,1,<ACEPTABLE>,8,7
Q205293180,"4,5",<INSUFICIENTE>,8,5
Q004474161,2,<INSUFICIENTE>,6,2
Q799823558,4,<ACEPTABLE>,4,3
Q675600740,5,<INSUFICIENTE>,5,3
Q205293180,"5,5",<INSUFICIENTE>,8,6
Q004474161,9,<EXCELENTE>,8,10
Q799823558,8,<EXCELENTE>,8,10
Q675600740,5,<ACEPTABLE>,8,8
Q205293180,"6,5",<ACEPTABLE>,8,9
Q004474161,3,<ACEPTABLE>,8,6
Q799823558,3,<ACEPTABLE>,8,6
Q675600740,3,<ACEPTABLE>,8,6
Q004474161,3,<ACEPTABLE>,7,5
Q799823558,8,<ACEPTABLE>,7,9
Q675600740,6,<ACEPTABLE>,5,6
Q205293180,"6,5",<ACEPTABLE>,5,6
Q004474161,9,<EXCELENTE>,7,10
Q799823558,4,<ACEPTABLE>,8,7
Q675600740,10,<ACEPTABLE>,8,9
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,9,<EXCELENTE>,8,8
Q799823558,8,<ACEPTABLE>,4,8
Q675600740,-1,<INSUFICIENTE>,7,4
Q205293180,"3,5",<INSUFICIENTE>,6,4
Q004474161,"5,5",<ACEPTABLE>,4,7
Q799823558,-1,<ACEPTABLE>,8,5
Q675600740,6,<ACEPTABLE>,6,7
Q205293180,"3,5",<ACEPTABLE>,8,6
Q004474161,9,<EXCELENTE>,8,9
Q799823558,8,<ACEPTABLE>,8,10
Q675600740,10,<EXCELENTE>,8,9
Q004474161,6,<INSUFICIENTE>,7,3
Q799823558,-1,<INSUFICIENTE>,4,1
Q675600740,-1,<INSUFICIENTE>,4,2
Q205293180,"0,5",<INSUFICIENTE>,3,1
Q004474161,9,<EXCELENTE>,8,9
Q799823558,8,<ACEPTABLE>,5,9
Q675600740,8,<ACEPTABLE>,8,8
Q205293180,"6,5",<ACEPTABLE>,7,9
Q004474161,7,<INSUFICIENTE>,5,5
Q799823558,-1,<ACEPTABLE>,4,3
Q675600740,-1,<INSUFICIENTE>,3,2
Q205293180,"2,5",<INSUFICIENTE>,5,2
Q004474161,"6,5",<ACEPTABLE>,"7,5",6
Q799823558,2,<ACEPTABLE>,7,3
Q675600740,7,<INSUFICIENTE>,4,4
Q205293180,"1,5",<INSUFICIENTE>,5,5
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,8,<ACEPTABLE>,5,8
Q675600740,3,<ACEPTABLE>,6,7
Q205293180,"5,5",<ACEPTABLE>,8,7
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,2,<ACEPTABLE>,4,5
Q675600740,7,<ACEPTABLE>,8,6
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,9,<EXCELENTE>,8,10
Q799823558,8,<ACEPTABLE>,8,9
Q675600740,8,<ACEPTABLE>,7,8
Q205293180,"6,5",<ACEPTABLE>,8,9
Q004474161,8,<INSUFICIENTE>,8,4
Q799823558,1,<INSUFICIENTE>,5,2
Q675600740,6,<INSUFICIENTE>,7,4
Q205293180,"6,5",<ACEPTABLE>,6,7
Q004474161,6,<ACEPTABLE>,4,5
Q799823558,7,<ACEPTABLE>,4,4
Q675600740,3,<INSUFICIENTE>,4,3
Q205293180,"2,5",<INSUFICIENTE>,5,4
Q004474161,8,<ACEPTABLE>,7,6
Q799823558,4,<ACEPTABLE>,8,4
Q675600740,8,<ACEPTABLE>,8,7
Q205293180,"5,5",<INSUFICIENTE>,8,5
Q004474161,9,<ACEPTABLE>,6,9
Q799823558,8,<ACEPTABLE>,5,8
Q675600740,7,<ACEPTABLE>,8,7
Q205293180,"6,5",<ACEPTABLE>,7,7
Q004474161,"5,5",<INSUFICIENTE>,8,7
Q799823558,4,<ACEPTABLE>,8,5
Q675600740,5,<INSUFICIENTE>,6,4
Q205293180,"6,5",<INSUFICIENTE>,4,4
Q004474161,8,<ACEPTABLE>,5,10
Q799823558,8,<ACEPTABLE>,8,9
Q675600740,6,<ACEPTABLE>,8,8
Q205293180,"6,5",<ACEPTABLE>,6,6
Q004474161,8,<ACEPTABLE>,7,5
Q799823558,3,<ACEPTABLE>,4,4
Q675600740,0,<INSUFICIENTE>,4,4
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,9,<ACEPTABLE>,7,9
Q799823558,8,<ACEPTABLE>,7,8
Q675600740,8,<ACEPTABLE>,7,8
Q205293180,"5,5",<ACEPTABLE>,4,6
Q004474161,9,<ACEPTABLE>,5,7
Q799823558,8,<ACEPTABLE>,4,7
Q675600740,2,<INSUFICIENTE>,5,5
Q205293180,"6,5",<ACEPTABLE>,7,6
Q004474161,8,<ACEPTABLE>,7,4
Q799823558,8,<ACEPTABLE>,5,7
Q675600740,5,<INSUFICIENTE>,8,5
Q205293180,"6,5",<INSUFICIENTE>,4,4
Q004474161,9,<ACEPTABLE>,8,10
Q799823558,8,<ACEPTABLE>,8,9
Q675600740,2,<ACEPTABLE>,5,9
Q205293180,"6,5",<ACEPTABLE>,7,7
Q004474161,9,<ACEPTABLE>,6,9
Q799823558,5,<INSUFICIENTE>,5,5
Q675600740,6,<INSUFICIENTE>,8,8
Q205293180,"1,5",<ACEPTABLE>,8,5
Q004474161,9,<ACEPTABLE>,7,7
Q799823558,0,<ACEPTABLE>,5,3
Q675600740,7,<ACEPTABLE>,5,7
Q205293180,"6,5",<ACEPTABLE>,7,5
Q004474161,8,<ACEPTABLE>,8,7
Q799823558,8,<ACEPTABLE>,8,7
Q675600740,1,<INSUFICIENTE>,5,4
Q205293180,"3,5",<INSUFICIENTE>,8,6
Q004474161,"6,5",<ACEPTABLE>,7,8
Q799823558,6,<INSUFICIENTE>,5,5
Q675600740,1,<INSUFICIENTE>,4,4
Q004474161,9,<ACEPTABLE>,"6,5",9
Q799823558,-1,<ACEPTABLE>,5,3
Q675600740,2,<ACEPTABLE>,4,5
Q205293180,"6,5",<ACEPTABLE>,6,6
Q004474161,7,<ACEPTABLE>,6,7
Q799823558,6,<ACEPTABLE>,7,6
Q675600740,4,<ACEPTABLE>,5,3
Q205293180,"5,5",<ACEPTABLE>,4,5
Q004474161,8,<EXCELENTE>,7,10
Q799823558,7,<ACEPTABLE>,7,9
Q675600740,0,<ACEPTABLE>,8,8
Q205293180,"6,5",<ACEPTABLE>,8,8
Q004474161,7,<INSUFICIENTE>,5,4
Q799823558,8,<ACEPTABLE>,5,7
Q675600740,2,<INSUFICIENTE>,7,3
Q205293180,-1,<SIN_RESPUESTA>,2,0
Q004474161,8,<ACEPTABLE>,3,5
Q799823558,5,<INSUFICIENTE>,5,3
Q675600740,4,<INSUFICIENTE>,4,4
Q205293180,"2,5",<INSUFICIENTE>,7,2
Q004474161,5,<ACEPTABLE>,7,4
Q799823558,6,<ACEPTABLE>,6,6
Q675600740,6,<INSUFICIENTE>,4,3
Q004474161,8,<ACEPTABLE>,4,8
Q799823558,8,<ACEPTABLE>,4,6
Q675600740,5,<ACEPTABLE>,5,5
Q205293180,"3,5",<INSUFFICIENTE>,4,4
Q004474161,9,<ACEPTABLE>,8,9
Q799823558,8,<ACEPTABLE>,4,7
Q675600740,10,<ACEPTABLE>,7,9
Q205293180,"6,5",<ACEPTABLE>,7,7
Q004474161,8,<ACEPTABLE>,8,8
Q799823558,8,<ACEPTABLE>,6,6
Q675600740,4,<INSUFICIENTE>,4,4
Q205293180,"6,5",<ACEPTABLE>,8,6
Q004474161,5,<ACEPTABLE>,8,7
Q799823558,8,<ACEPTABLE>,8,8
Q675600740,5,<ACEPTABLE>,7,6
Q205293180,"6,5",<ACEPTABLE>,7,7
Q004474161,"3,5",<INSUFICIENTE>,4,3
Q799823558,8,<ACEPTABLE>,4,7
Q675600740,3,<ACEPTABLE>,7,5
Q205293180,"5,5",<ACEPTABLE>,8,6
Q004474161,7,<ACEPTABLE>,8,7
Q799823558,6,<INSUFICIENTE>,4,4
Q675600740,2,<INSUFICIENTE>,6,3
Q205293180,,<SIN_RESPUESTA>,0,0
Q205293180,,<ACEPTABLE>,7,0
Q205293180,,<ACEPTABLE>,7,0
Q205293180,,<ACEPTABLE>,7,0
Q205293180,,<ACEPTABLE>,7,0
Q205293180,,<ACEPTABLE>,7,0
